index,case,input,execution_mode,returncode,success,elapsed_seconds,expected_line_count,generated_line_count,line_count_equal,canonical_text_identical,canonical_diff_lines,structure_diff_lines,metric_values_compared_on_diff_lines,metric_mismatch_count,metric_max_abs,metric_max_rel,classification,notes
1,aermod-baldwin45,aermod-baldwin45.inp,isolated,0,True,0.692,2547,2547,True,False,4,4,0,0,0,0,representation-or-tie-equivalent,Only +0.0 versus -0.0 formatting differs in echoed meteorology.
2,aermod-baldwinHoriz,aermod-baldwinHoriz.inp,isolated,0,True,0.821,2547,2547,True,False,4,4,0,0,0,0,representation-or-tie-equivalent,Only +0.0 versus -0.0 formatting differs in echoed meteorology.
3,aermod-baldwinVert,aermod-baldwinVert.inp,isolated,0,True,0.737,2547,2547,True,False,4,4,0,0,0,0,representation-or-tie-equivalent,Only +0.0 versus -0.0 formatting differs in echoed meteorology.
4,aertest,aertest.inp,isolated,0,True,0.081,1363,1363,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
5,allsrcs,allsrcs.inp,isolated,0,True,4.883,26160,26160,True,False,34,34,68,0,0,0,representation-or-tie-equivalent,Reported values match; equal-valued extrema are associated with a different tied receptor ordering.
6,bg_no2_arm2_ppb,bg_no2_arm2_ppb.inp,isolated,0,True,0.053,627,627,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
7,bg_no2_arm2_ugm3,bg_no2_arm2_ugm3.inp,isolated,0,True,0.056,628,628,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
8,bg_no2_grsm_ppb,bg_no2_grsm_ppb.inp,isolated,0,True,0.065,648,648,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
9,bg_no2_grsm_ugm3,bg_no2_grsm_ugm3.inp,isolated,0,True,0.066,653,653,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
10,bg_no2_olm_ppb,bg_no2_olm_ppb.inp,isolated,0,True,0.052,657,657,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
11,bg_no2_olm_ugm3,bg_no2_olm_ugm3.inp,isolated,0,True,0.053,654,654,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
12,bg_no2_pvmrm_ppb,bg_no2_pvmrm_ppb.inp,isolated,0,True,0.064,668,668,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
13,bg_no2_pvmrm_ugm3,bg_no2_pvmrm_ugm3.inp,isolated,0,True,0.065,654,654,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
14,bg_no2_ttrm_ppb,bg_no2_ttrm_ppb.inp,isolated,0,True,0.052,665,665,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
15,bg_no2_ttrm_ugm3,bg_no2_ttrm_ugm3.inp,isolated,0,True,0.05,652,652,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
16,blp_urban,blp_urban.inp,isolated,0,True,9.859,1921,1921,True,False,4,4,0,0,0,0,representation-or-tie-equivalent,Only +0.0 versus -0.0 formatting differs in echoed meteorology.
17,capped,capped.inp,isolated,0,True,0.912,10615,10615,True,False,606,24,2602,1254,2.22481,0.0526130411798,compiler-sensitive-investigation,Material divergence under the official GNU flags; do not declare numerical parity until compiler/optimization sensitivity is resolved.
18,capped_nostd,capped_nostd.inp,isolated,0,True,0.338,4848,4848,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
