pathway,record_type,keyword,repeatability,applicability,evidence_status,source_mapping_status,notes
CO,primary,TITLEONE,non-repeatable,all runs,confirmed-current,provisional:coset.f,first title line
CO,primary,TITLETWO,non-repeatable,all runs,confirmed-current,provisional:coset.f,second title line
CO,primary,MODELOPT,non-repeatable,all runs,confirmed-current,provisional:coset.f,"dispersion, terrain, chemistry, deposition, regulatory and development options; Contains DFAULT, ALPHA, BETA and other mode switches."
CO,primary,AVERTIME,non-repeatable,concentration/deposition runs,confirmed-current,provisional:coset.f,one or more averaging periods
CO,primary,URBANOPT,repeatable,urban sources,confirmed-current,provisional:coset.f,urban area identifier and population
CO,primary,POLLUTID,non-repeatable,all runs,confirmed-current,provisional:coset.f,pollutant identifier
CO,primary,HALFLIFE,non-repeatable,decay calculations,confirmed-current,provisional:coset.f,pollutant half-life; Mutually exclusive semantics with DCAYCOEF require detailed validation.
CO,primary,DCAYCOEF,non-repeatable,decay calculations,confirmed-current,provisional:coset.f,decay coefficient
CO,primary,GASDEPDF,non-repeatable,gas deposition,confirmed-current,provisional:coset.f,default gas deposition parameters
CO,primary,GASDEPVD,non-repeatable,gas deposition,confirmed-current,provisional:coset.f,user-specified gas deposition velocity
CO,primary,GDLANUSE,repeatability-to-verify,gas deposition,confirmed-current,provisional:coset.f,gas-deposition land-use categories
CO,primary,GDSEASON,repeatability-to-verify,gas deposition,confirmed-current,provisional:coset.f,gas-deposition seasonal category
CO,primary,LOW_WIND,non-repeatable,low-wind processing,confirmed-current,provisional:coset.f,low-wind options and thresholds
CO,primary,AWMADWNW,non-repeatable,meteorological processing,confirmed-current,provisional:coset.f,minimum wind-direction window option
CO,primary,ORD_DWNW,non-repeatable,meteorological processing,confirmed-current,provisional:coset.f,ordered direction-window option
CO,primary,NO2EQUIL,non-repeatable,NO2 chemistry,confirmed-current,provisional:coset.f,NO2 equilibrium ratio settings
CO,primary,NO2STACK,repeatability-to-verify,NO2 chemistry,confirmed-current,provisional:coset.f,in-stack NO2/NOx ratio settings
CO,primary,ARMRATIO,non-repeatable,ARM2,confirmed-current,provisional:coset.f,ARM2 minimum and maximum ratios
CO,primary,O3SECTOR,repeatable,OLM/PVMRM/GRSM chemistry,confirmed-current,provisional:coset.f,ozone-sector definitions
CO,primary,OZONEFIL,non-repeatable,ozone-limited chemistry,confirmed-current,provisional:coset.f,hourly ozone file
